TradeID,TransactionCodeOverrideDescription,TradeDate,SettledDate,SuperSheetDate,TradeAmount,System,DealerNum,DealerBranchBranchCode,RepCode,FirmId,FirmName,OfficeAddressLine1,OfficeCity,OfficeRegionRefCode,OfficePostalCode,PersonFirstName,PersonLastName,LineOfBusiness,Channel,Region,Territory,ProductNasdaqSymbol,ProductName,AccountTANumber,AccountId,ExternalAccountNumber,HoldingId,HoldingExternalAccountNumber,HoldingName
33624,Redemption,6-Sep-19,10-Sep-19,6-Sep-19,244.54,MSSB,15,970,97,31478,Morgan Stanley Smith Barney LLC,HARBORSIDE FINANCIAL CENTER,JERSEY CITY,US-NJ,7311,Morgan Stanley Smith Barney LLC,House Account,Mutual Fund,Broker Dealer,Northeast,Carroll,ARSQX,Aristotle Value Equity Fund - Class I,2.39E+11,58177,,66393,,Morgan Stanley Smith Barney LLC
30048,Redemption,24-Jul-19,25-Jul-19,26-Jul-19,239.41,UMB,DLJP,P3M,CVH,45511,"Telemus Capital, LLC",2 TOWNE SQ,SOUTHFIELD,US-MI,48076-3769,Lyle,Wolberg,Mutual Fund,RIA,Midwest,Sindici,ARSQX,Aristotle Value Equity Fund - Class I,413007877,50577,P3M406994,57704,P3M406994,PERSHING LLC
33383,Redemption,29-Jul-19,31-Jul-19,29-Jul-19,239.12,MSSB,15,970,97,31478,Morgan Stanley Smith Barney LLC,HARBORSIDE FINANCIAL CENTER,JERSEY CITY,US-NJ,7311,Morgan Stanley Smith Barney LLC,House Account,Mutual Fund,Broker Dealer,Northeast,Carroll,ARSQX,Aristotle Value Equity Fund - Class I,2.39E+11,58150,,66366,,Morgan Stanley Smith Barney LLC
32205,Redemption,11-Sep-19,11-Sep-19,11-Sep-19,235.92,FIDELITY,226RIA,G12472081,G12472081,38304,"Regatta Capital Group, LLC",2321 ROSECRANS AVE,EL SEGUNDO,US-CA,90245-4903,"Regatta Capital Group, LLC",House Account,Mutual Fund,RIA,West,Sindici,ARSOX,Aristotle/Saul Global Opportunities Fund - Class I,676292544,6276,,6507,,
29584,Redemption,11-Jul-19,11-Jul-19,11-Jul-19,235.42,FIDELITY,226RIA,G12472081,G12472081,38304,"Regatta Capital Group, LLC",2321 ROSECRANS AVE,EL SEGUNDO,US-CA,90245-4903,"Regatta Capital Group, LLC",House Account,Mutual Fund,RIA,West,Sindici,ARSOX,Aristotle/Saul Global Opportunities Fund - Class I,676292544,6276,,6507,,
31066,Redemption,13-Aug-19,13-Aug-19,13-Aug-19,233.01,FIDELITY,226RIA,G12472081,G12472081,38304,"Regatta Capital Group, LLC",2321 ROSECRANS AVE,EL SEGUNDO,US-CA,90245-4903,"Regatta Capital Group, LLC",House Account,Mutual Fund,RIA,West,Sindici,ARSOX,Aristotle/Saul Global Opportunities Fund - Class I,676292544,6276,,6507,,
30043,Redemption,24-Jul-19,25-Jul-19,26-Jul-19,231.32,UMB,DLJP,P3M,VKB,45511,"Telemus Capital, LLC",2 TOWNE SQ,SOUTHFIELD,US-MI,48076-3769,"Telemus Capital, LLC",House Account,Mutual Fund,RIA,Midwest,Sindici,ARSQX,Aristotle Value Equity Fund - Class I,413007749,50564,P3M408149,57691,P3M408149,PERSHING LLC
32208,Redemption,11-Sep-19,11-Sep-19,11-Sep-19,226.57,FIDELITY,226BWM,G12203538,G12203538,57742,AMG NATIONAL TRUST BANK,6295 GREENWOOD PLAZA BLVD,GREENWOOD VILLAGE,US-CO,80111-4908,AMG NATIONAL TRUST BANK,HOUSE ACCOUNT,Mutual Fund,RIA,West,Sindici,ARSBX,Aristotle Small Cap Equity Fund - Class I,671358363,36967,,44043,,
33732,Redemption,23-Sep-19,25-Sep-19,23-Sep-19,222,MSSB,15,239,239-165/Q,31478,Morgan Stanley Smith Barney LLC,6700 E PACIFIC COAST HWY,LONG BEACH,US-CA,90803-4212,David,Tuebner,Mutual Fund,Broker Dealer,Southern California,Helton,ARSQX,Aristotle Value Equity Fund - Class I,2.39E+11,58056,,66272,,Morgan Stanley Smith Barney LLC
33690,Redemption,17-Sep-19,19-Sep-19,18-Sep-19,214.08,MSSB,15,189,189-084/C,31478,Morgan Stanley Smith Barney LLC,55 S LAKE AVE,PASADENA,US-CA,91101-2676,Thomas / Roger / Andrea,Murray / Scocchio / Vining,Mutual Fund,Broker Dealer,Southern California,Helton,ARSFX,Aristotle International Equity Fund - Class I,1.89E+11,57822,,66038,,MSSB C/F
32665,Redemption,24-Sep-19,24-Sep-19,24-Sep-19,210.35,FIDELITY,226BWM,G12203538,G12203538,57742,AMG NATIONAL TRUST BANK,6295 GREENWOOD PLAZA BLVD,GREENWOOD VILLAGE,US-CO,80111-4908,AMG NATIONAL TRUST BANK,HOUSE ACCOUNT,Mutual Fund,RIA,West,Sindici,ARSBX,Aristotle Small Cap Equity Fund - Class I,671358363,36967,,44043,,
32694,Redemption,24-Sep-19,25-Sep-19,26-Sep-19,204,UMB,DLJP,P3M,CVH,45511,"Telemus Capital, LLC",2 TOWNE SQ,SOUTHFIELD,US-MI,48076-3769,Lyle,Wolberg,Mutual Fund,RIA,Midwest,Sindici,ARSQX,Aristotle Value Equity Fund - Class I,413006925,50482,P3M408073,57609,P3M408073,PERSHING LLC
